2022 Mar 01 23:43:04 INFO     <module> Тестовое сообщение
2022 Mar 01 23:43:12 INFO     main Запуск клиента... Анализ параметров запуска...
2022 Mar 01 23:43:12 INFO     main Применены параметры запуска по умолчанию; адрес сервера-127.0.0.1, порт-7777.
2022 Mar 01 23:43:12 DEBUG    main Создан клиентский сокет
2022 Mar 01 23:43:12 INFO     main Установлено соединение с сервером 127.0.0.1 по порту 7777
2022 Mar 01 23:43:12 INFO     create_presence Создание словаря согласно протоколу "JIM"
2022 Mar 01 23:43:12 DEBUG    wrap Функция-"send_message" была вызвана из модуля-"common.utils" и инициирован из функцией-"main", с параметрами "(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56331), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1646167392.8289766, 'user': {'account_name': 'Guest'}})", "{}".
2022 Mar 01 23:43:12 INFO     main Попытка отправить сообщение {'action': 'presence', 'time': 1646167392.8289766, 'user': {'account_name': 'Guest'}} серверу
2022 Mar 01 23:43:12 DEBUG    wrap Функция-"read_message" была вызвана из модуля-"common.utils" и инициирован из функцией-"main", с параметрами "(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56331), raddr=('127.0.0.1', 7777)>,)", "{}".
2022 Mar 01 23:43:12 INFO     server_answer Принято сообщение {'response': 200} от сервера
2022 Mar 01 23:43:12 INFO     main Получено сообщение от сервера 200: OK
2022 Mar 01 23:43:12 DEBUG    main Клиентский сокет закрыт.
